filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency
test1.gcode,0.9999999999999613,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test10.gcode,0.9999135316564406,1.0,1.0017865071423314e-05,0.0,0.0,0.0,12.014521,0.0
test100.gcode,0.9999999999993132,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test1000.gcode,0.9997628679468981,1.0,1.0262108162474289e-05,0.0,0.0,0.0,12.014521,0.0
test101.gcode,0.9999999999998652,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test102.gcode,0.9999999999999646,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test103.gcode,0.9999999999999288,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test104.gcode,0.9999917691405696,1.0,6.057906696763703e-07,0.0,0.0,0.0,12.014521,0.0
test105.gcode,0.9999999999999493,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test106.gcode,0.9999999999999589,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test107.gcode,0.9999999999999037,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test108.gcode,0.9999999999998914,1.0,1.209434443846979e-14,0.0,0.0,0.0,12.014521,0.0
test109.gcode,0.9999991317307733,1.0,1.729440540068165e-07,0.0,0.0,0.0,12.014521,0.0
test11.gcode,0.9999980545996036,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test110.gcode,0.9999999999989919,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test111.gcode,0.9999985283317806,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test112.gcode,0.9999956541100513,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test113.gcode,0.9999999999999598,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test114.gcode,0.9999895952876314,1.0,7.961635709706995e-08,0.0,0.0,0.0,12.014521,0.0
test115.gcode,0.9999891637711066,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test116.gcode,0.9999999999999467,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test117.gcode,0.9999999999999556,1.0,6.767073673905716e-16,0.0,0.0,0.0,12.014521,0.0
test118.gcode,0.999999452561882,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test119.gcode,0.9999999999999267,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test12.gcode,0.9999999999998277,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test120.gcode,0.9999999999999122,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test121.gcode,0.9998126008820576,1.0,8.392881940557643e-06,0.0,0.0,0.0,12.014521,0.0
test122.gcode,0.9997904659809865,1.0,8.026077632278519e-06,0.0,0.0,0.0,12.014521,0.0
test123.gcode,0.9998193477316724,1.0,8.806258908660409e-06,0.0,0.0,0.0,12.014521,0.0
test124.gcode,0.9998074474570042,1.0,1.2140249512837335e-05,0.0,0.0,0.0,12.014521,0.0
test125.gcode,0.999844880613368,1.0,7.065796352428598e-06,0.0,0.0,0.0,12.014521,0.0
test126.gcode,0.9998070914147194,1.0,1.1422808251342052e-05,0.0,0.0,0.0,12.014521,0.0
test127.gcode,0.9998171984493964,1.0,7.89934487503369e-06,0.0,0.0,0.0,12.014521,0.0
test128.gcode,0.9998035980717503,1.0,9.248857801108064e-06,0.0,0.0,0.0,12.014521,0.0
test129.gcode,0.9998095339511834,1.0,7.804104549375769e-06,0.0,0.0,0.0,12.014521,0.0
