filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency
test145.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test146.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test147.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test148.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test149.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test15.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test150.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test151.gcode,0.32439119682452233,1.0,21.201007325046227,0.0,0.0,0.0,14.01973,0.0
test152.gcode,0.12315322074260751,1.0,0.902947281130056,0.0,0.0,0.0,14.01973,0.0
test153.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test154.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test155.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test156.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test157.gcode,0.0029035927660008847,1.0,51.58851316324319,0.0,0.0,0.0,14.01973,0.0
test158.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test159.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test16.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test160.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test161.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test162.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test163.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test164.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test165.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test166.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test167.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test168.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test169.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test17.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test170.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test171.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test172.gcode,0.9911118436572213,1.0,0.0012291667936876862,0.0,0.0,0.0,14.01973,0.0
test173.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test174.gcode,0.7321964094955856,1.0,7.618149682157302e-06,0.0,0.0,0.0,14.01973,0.0
test175.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test176.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test177.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test178.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test179.gcode,0.02630509254696305,1.0,5.266701311930556,0.0,0.0,0.0,14.01973,0.0
test18.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test180.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test181.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test182.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test183.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test184.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test185.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test186.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test187.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
test188.gcode,0.0,nan,nan,nan,nan,nan,14.01973,0.0
