iou_range,count,percentage
<0.1,2,0.2
0.1-0.5,0,0.0
0.5-0.8,0,0.0
0.8-0.9,1,0.1
0.9-0.95,0,0.0
0.95-0.99,0,0.0
>=0.99,997,99.7
