filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency,iou_range
test865.gcode,0.0669720687435577,1.0,1.826611332934724e-05,0.0,0.0,0.0,12.000052,0.0,<0.1
test502.gcode,0.0669737925441142,1.0,4.926213748162839e-06,0.0,0.0,0.0,12.000052,0.0,<0.1
test152.gcode,0.0692146242654263,1.0,0.003055998360707,0.0,0.0,0.0,12.000052,0.0,<0.1
test910.gcode,0.0705814657795624,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test351.gcode,0.0722891566265061,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test412.gcode,0.0763987190229301,1.0,1.0378918886069796e-07,0.0,0.0,0.0,12.000052,0.0,<0.1
test982.gcode,0.0788103206258663,1.0,0.0022365299829102,0.0,0.0,0.0,12.000052,0.0,<0.1
test285.gcode,0.0792849601036475,1.0,0.0213329832355277,0.0,0.0,0.0,12.000052,0.0,<0.1
test703.gcode,0.0796234719081469,1.0,0.0024979065809554,0.0,0.0,0.0,12.000052,0.0,<0.1
test97.gcode,0.0800000000000172,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test100.gcode,0.0833333333333142,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test56.gcode,0.0852860933029226,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test427.gcode,0.0885564914467667,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test920.gcode,0.0929391451102976,1.0,1.2605011960152008e-06,0.0,0.0,0.0,12.000052,0.0,<0.1
test700.gcode,0.0970214847038896,1.0,0.0069985964489119,0.0,0.0,0.0,12.000052,0.0,<0.1
test701.gcode,0.0973687849962176,1.0,0.011602126990677,0.0,0.0,0.0,12.000052,0.0,<0.1
test362.gcode,0.0982397935673909,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,<0.1
test498.gcode,0.0984242517086844,1.0,0.0025447022570546,0.0,0.0,0.0,12.000052,0.0,<0.1
test55.gcode,0.1029663425771676,1.0,1.2820821851747983e-05,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test847.gcode,0.1046728539293253,1.0,1.2040361932419051e-05,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test898.gcode,0.107754300978601,1.0,1.5635102402535663e-06,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test2.gcode,0.1085138982470033,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test974.gcode,0.1311890088845861,1.0,0.0031900627275891,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test927.gcode,0.1368366163311729,1.0,6.567707252652463e-06,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test435.gcode,0.137307990265556,1.0,6.93212425131805e-15,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test1.gcode,0.1429307236672629,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test591.gcode,0.143840045690884,1.0,2.961080968737422e-06,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test311.gcode,0.144983350143274,1.0,0.0004114998727741,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test464.gcode,0.1568849832051621,1.0,2.091474157085977e-06,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test747.gcode,0.1764674745028726,1.0,0.3106489558778653,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test394.gcode,0.1797163146100125,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test365.gcode,0.1940078617500263,1.0,0.001269523295003,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test90.gcode,0.1999556147359009,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test788.gcode,0.2026428174935744,1.0,0.0004737691477251,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test42.gcode,0.2114093959731476,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test883.gcode,0.2121212121212122,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test604.gcode,0.2175471225363061,1.0,5.041652888360004e-06,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test691.gcode,0.2265761541412634,1.0,7.105427357601002e-15,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test60.gcode,0.2360831874378064,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test62.gcode,0.2400724865167068,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test8.gcode,0.2504737316324488,1.0,0.0076749409997925,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test629.gcode,0.2635844168423327,1.0,3.0235861096174475e-16,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test958.gcode,0.2704878106694964,1.0,0.0002997189987131,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test538.gcode,0.285072626323908,1.0,0.0020110516772868,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test7.gcode,0.2901372320046845,1.0,0.0065272503057065,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test458.gcode,0.2945736434109013,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test635.gcode,0.299117249371664,1.0,5.525559597922498e-07,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test92.gcode,0.2999999999998152,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test114.gcode,0.3003733737573037,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test156.gcode,0.3081419118727783,1.0,0.0033312861844471,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test608.gcode,0.3116964292397354,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test607.gcode,0.3194577311870058,1.0,7.105427357601002e-15,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test945.gcode,0.3225725573232226,1.0,3.794456053723656e-06,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test508.gcode,0.3356582556426797,1.0,1.5939889596254023e-05,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test540.gcode,0.3704272321638905,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test450.gcode,0.3820082086355423,1.0,8.805382570553756e-05,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test907.gcode,0.390783067971904,1.0,0.0003808901541819,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test796.gcode,0.417342797702897,1.0,1.1264809786159251e-05,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test626.gcode,0.4211334259504116,1.0,0.0005500445201518,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test979.gcode,0.4221403844237261,1.0,1.703299146189473e-06,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test478.gcode,0.4303442646846642,1.0,2.8187821752539248e-05,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test695.gcode,0.4446901215399282,1.0,0.0087067661603039,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test623.gcode,0.4503315686870281,1.0,7.400503075735398e-06,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test395.gcode,0.4642857142857666,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test393.gcode,0.4755606809541839,1.0,0.0,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
test565.gcode,0.4859140448283591,1.0,0.0255452948502949,0.0,0.0,0.0,12.000052,0.0,0.1-0.5
