metric,value
num_samples,1000.0
iou_mean,0.8749388117218009
iou_median,0.9961492949284971
iou_std,0.2834567091933803
iou_p10,0.2999117249370001
iou_p25,0.9595990973316502
iou_p50,0.9961492949284971
iou_p75,0.9997631150562958
iou_p90,0.9998388455489489
iou_below_0.5,119.0
iou_below_0.8,146.0
iou_above_0.9,830.0
iou_above_0.99,594.0
coordinate_mae_mean,0.0017138011536731526
coordinate_mae_median,9.547832719473624e-06
coordinate_mae_max,0.8895025000000061
